Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      137    0.004    0.000    0.025    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\signal\_savitzky_golay.py:8(savgol_coeffs)
        7    0.004    0.001    0.090    0.013 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\language.py:1845(<lambda>)
        1    0.004    0.004    0.061    0.061 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\numpy\pose_body.py:147(interpolate)
   3141/5    0.004    0.000    0.009    0.002 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\util.py:261(convert_recursive)
      274    0.004    0.000    0.059    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\signal\_savitzky_golay.py:166(_fit_edge)
        6    0.004    0.001    0.296    0.049 C:\Users\User\PycharmProjects\FINAL\PoseObj.py:62(find_start_end_points)
     2823    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
        2    0.003    0.002    0.332    0.166 spacy\tokenizer.pyx:566(_load_special_cases)
     3719    0.003    0.000    0.016    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1419(getmaskarray)
    60/15    0.003    0.000    0.064    0.004 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\thinc\config.py:787(_fill)
       12    0.003    0.000    0.064    0.005 C:\Users\User\PycharmProjects\FINAL\PoseObj.py:37(find_start)
        3    0.003    0.001    0.008    0.003 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:993(_read)
       32    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     1527    0.003    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lang\lex_attrs.py:89(like_url)
      9/1    0.003    0.000    0.344    0.344 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\util.py:1165(from_disk)
     1848    0.003    0.000    0.019    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1550(make_mask)
      744    0.003    0.000    0.021    0.000 spacy\tokenizer.pyx:441(_attach_tokens)
      744    0.003    0.000    0.013    0.000 spacy\tokenizer.pyx:396(_split_affixes)
 2634/208    0.003    0.000    0.006    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\copy.py:128(deepcopy)
      824    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
    19706    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      328    0.003    0.000    0.003    0.000 {method 'write' of '_io.BufferedWriter' objects}
     2750    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3690    0.003    0.000    0.003    0.000 spacy\tokens\doc.pyx:394(has_annotation)
      344    0.002    0.000    0.007    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2124(_signature_from_function)
      274    0.002    0.000    0.005    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\twodim_base.py:504(vander)
       36    0.002    0.000    0.004    0.000 {built-in method io.open}
        1    0.002    0.002    0.002    0.002 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\pipeline\tok2vec.py:49(__init__)
